KEY,English,Korean,Japanese
TIP_Common_1,During the game! One of the items that appeared in.,게임 진행 중 ! 에서 등장하는 아이템들 중 하나.,ゲーム進行中！で登場するアイテムの一つ。
TIP_Common_2,It has the effect!,효과를 지니고 있다!!,効果を持っている！
TIP_1,Not that this be appearing from time to time!,가끔 등장하는 이건 적이아냐!!,時々登場するこれことじゃない！
TIP_2,Item is displayed Location Subdivision of feeling!,아이템이 나타는느 위치라구!!,アイテムが表示さは感じの場所区！
TIP_3,"Because where do not know appear, eyes Girl If you have to look peeled?",어디서 나타날지 모르니까 눈 똑바로 뜨고 봐야할걸?,どこ現れるわからないから、目は皮をむい見なければならガール？
TIP_Erasert_1,It will disappear all the enemies that are displayed on the current screen,현재 화면에 나타나 있는 모든 적들을 지워버리는,現在の画面に表示されているすべての敵を消してしまう
TIP_OPAL_1,Opal is valuable goods that can be purchased the game money.,오팔은 게임머니를 살 수 있는 귀한 재화야.,オパールはゲームマネーを購入することができる貴重な財貨よ。
TIP_OPAL_2,Because or appeared in the place of the item during the game progress,게임 진행 중에 아이템을 대신해서 등장하기도 하니까,ゲーム進行中にアイテムを代わりにして登場したりするから
TIP_OPAL_3,Me before disappearing! Choose! Choose!,사라지기 전에 줍! 줍! 줍!,消える前にくれ！選ぶ！選ぶ！
TIP_SLOW_1,"A certain period of time, have a slow to effect all of the enemy!",일정 시간 모든 적을을 느려지게 하는 효과를 지니고 있다!!,一定時間、すべての敵を遅くする効果を持っている！
TIP_Tranparency_1,Is a short time transparency can be avoided all conflicts,짧은 시간 투명화가 되어 모든 충돌을 회피할 수 있는,短い時間透明化がされて、すべての衝突を回避することができる
SHOP_Category_1,jewelry,보석,宝石
SHOP_Category_2,Game money,게임머니,ゲームマネー
SETTING_Google,Google interlocking,구글연동,グーグル連動
SETTING_BGM,Background sound,배경음,背景音
SETTING_SFX,Sound effect,효과음,効果音
SETTING_Language,language,언어,言語
Achievements,performance,업적,業績
Achievements_1,Google interlocking,구글연동,グーグル連動
Achievements_2,Success to hold out the first 30 seconds!,첫 30초 버티기 성공!!,最初の30秒持ちこたえることに成功！
Achievements_3,The first success that withstand 90 seconds!,첫 90초 버티기 성공!!,最初の90秒持ちこたえることに成功！
Achievements_4,Success to hold out the first 150 seconds!,첫 150초 버티기 성공!!,最初の150秒持ちこたえることに成功！
Achievements_5,The first rare character acquisition,첫 레어 캐릭터 획득,最初レアキャラクター獲得
Achievements_6,veteran,베테랑,ベテラン
Achievements_7,All of the general character open,모든 일반 케릭터 개방,すべての一般的なキャラクター開放
Achievements_8,Ad mania,광고 마니아,広告マニア
Achievements_9,Wonderful person,훌륭하신분,素晴らしい方
Achievements_10,collector,수집가,コレクター
Achievements_11,Master,마스터,マスター
,It withstands more than two minutes without eating the items,아이템을 먹지않고2분 이상 버텨냅니다,アイテムを食べずに2分以上耐えます
,#VALUE!,,#VALUE!
,#VALUE!,,#VALUE!
,#VALUE!,,#VALUE!
,#VALUE!,,#VALUE!
,#VALUE!,,#VALUE!
,#VALUE!,,#VALUE!
,#VALUE!,,#VALUE!
,#VALUE!,,#VALUE!
,#VALUE!,,#VALUE!
,#VALUE!,,#VALUE!
,#VALUE!,,#VALUE!
,#VALUE!,,#VALUE!
,#VALUE!,,#VALUE!
,#VALUE!,,#VALUE!
,#VALUE!,,#VALUE!
,#VALUE!,,#VALUE!
,#VALUE!,,#VALUE!
,#VALUE!,,#VALUE!
,#VALUE!,,#VALUE!
,#VALUE!,,#VALUE!
,#VALUE!,,#VALUE!
,#VALUE!,,#VALUE!
,#VALUE!,,#VALUE!
,#VALUE!,,#VALUE!
,#VALUE!,,#VALUE!
,#VALUE!,,#VALUE!
,#VALUE!,,#VALUE!
,#VALUE!,,#VALUE!
,#VALUE!,,#VALUE!
,#VALUE!,,#VALUE!
,#VALUE!,,#VALUE!
,#VALUE!,,#VALUE!
,#VALUE!,,#VALUE!
,#VALUE!,,#VALUE!
,#VALUE!,,#VALUE!
,#VALUE!,,#VALUE!
,#VALUE!,,#VALUE!
,#VALUE!,,#VALUE!
,#VALUE!,,#VALUE!
,#VALUE!,,#VALUE!
,#VALUE!,,#VALUE!
,#VALUE!,,#VALUE!
,#VALUE!,,#VALUE!
,#VALUE!,,#VALUE!
,#VALUE!,,#VALUE!
,#VALUE!,,#VALUE!
,#VALUE!,,#VALUE!
